series_id,country_code,country_name,year,value
EG.ELC.ACCS.ZS,IND,India,2022,99.2
EG.ELC.ACCS.ZS,IND,India,2021,99.6
EG.ELC.ACCS.ZS,IND,India,2020,96.5
EG.ELC.ACCS.ZS,IND,India,2019,95.9
EG.ELC.ACCS.ZS,IND,India,2018,95.7
EG.ELC.ACCS.ZS,IND,India,2017,91.8
EG.ELC.ACCS.ZS,IND,India,2016,89.6
EG.ELC.ACCS.ZS,IND,India,2015,88.0
EG.ELC.ACCS.ZS,IND,India,2014,85.1
EG.ELC.ACCS.ZS,IND,India,2013,83.1
EG.ELC.ACCS.ZS,IND,India,2012,79.9
EG.ELC.ACCS.ZS,IND,India,2011,79.5
EG.ELC.ACCS.ZS,IND,India,2010,76.3
EG.ELC.ACCS.ZS,IND,India,2009,75.0
EG.ELC.ACCS.ZS,IND,India,2008,74.1
EG.ELC.ACCS.ZS,IND,India,2007,72.3
EG.ELC.ACCS.ZS,IND,India,2006,67.9
EG.ELC.ACCS.ZS,IND,India,2005,68.8
EG.ELC.ACCS.ZS,IND,India,2004,64.4
EG.ELC.ACCS.ZS,IND,India,2003,65.4
EG.ELC.ACCS.ZS,IND,India,2002,62.3
EG.ELC.ACCS.ZS,IND,India,2001,62.0
EG.ELC.ACCS.ZS,IND,India,2000,60.3
EG.ELC.ACCS.ZS,IND,India,1999,60.1
EG.ELC.ACCS.ZS,IND,India,1998,56.1821327209473
EG.ELC.ACCS.ZS,IND,India,1997,54.5948638916016
EG.ELC.ACCS.ZS,IND,India,1996,53.0035209655762
EG.ELC.ACCS.ZS,IND,India,1995,51.4087753295898
EG.ELC.ACCS.ZS,IND,India,1994,49.8113098144531
EG.ELC.ACCS.ZS,IND,India,1993,50.9
